"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
0,0,0,0,0,"MTCO1P23"
0,0,0,0,0,"FTLP1"
0,0,0,0,0,"AL355990.2"
11,7,7,6,8,"HIPK1-AS1"
5,5,10,7,9,"AGAP1-IT1"
8,15,10,22,18,"AC087294.1"
0,0,0,0,0,"MSC-AS1"
0,0,0,1,1,"LINC00402"
0,0,0,0,0,"AL360089.1"
0,0,0,0,0,"FECHP1"
0,0,0,0,0,"TRDN-AS1"
0,0,0,0,0,"AC009411.2"
0,0,0,0,0,"AL078602.1"
0,0,0,0,0,"MTND1P33"
0,0,0,0,0,"RPS11P1"
6,22,6,9,19,"AC103923.1"
0,0,0,1,2,"AC087499.4"
0,0,0,0,0,"NDUFB11P1"
1,0,1,0,0,"AC073551.1"
0,0,0,0,0,"EIF1P2"
0,0,0,0,0,"ANKRD26P2"
14,18,14,11,9,"RPL6P27"
2,4,3,4,14,"AC005822.1"
1,2,3,0,0,"SUMO1P4"
0,0,0,0,0,"AC146949.1"
0,0,0,0,0,"NOP56P1"
17,38,45,43,45,"AC002310.1"
0,0,0,0,0,"AL445183.2"
0,0,1,0,0,"AP000477.2"
175,249,337,480,566,"NFAM1"
0,0,0,0,0,"LINC00533"
0,0,0,0,0,"SNX18P14"
0,0,0,0,0,"AL353615.1"
1,0,0,0,0,"AC005005.2"
0,0,0,0,1,"AC073150.1"
0,0,0,0,1,"Z99758.1"
57,36,43,34,67,"LINC01871"
0,0,0,1,0,"AC007731.3"
0,0,0,0,0,"RPL38P5"
0,0,0,0,0,"AC005011.1"
0,0,0,0,1,"AL365258.3"
0,0,1,1,0,"AC007562.1"
0,0,0,0,0,"AC008268.1"
0,0,0,0,1,"AC011247.1"
76,148,209,106,178,"GAPDHP65"
1,1,1,2,0,"GNAS-AS1"
0,0,0,0,3,"AC004674.2"
0,0,0,0,0,"RBMS3-AS1"
0,0,0,0,0,"AL139824.2"
0,0,0,0,0,"GAPDHP23"
0,0,1,1,2,"LINC01102"
0,0,0,0,0,"RRM2P4"
7,4,11,11,14,"BARX1-DT"
0,0,0,0,0,"POU5F1P3"
1,0,0,2,0,"AL355472.1"
0,0,1,0,1,"AK4P6"
0,0,0,0,0,"NKX1-1"
10,4,38,30,37,"AF127577.4"
0,0,0,0,0,"AC013448.2"
0,1,0,0,0,"AL353681.1"
1,1,0,0,1,"NSRP1P1"
1,0,1,0,4,"AJ239322.1"
0,0,0,0,1,"ST13P2"
0,0,0,0,0,"AC016027.4"
18,27,27,21,27,"FAM21EP"
0,0,0,0,0,"RPL36AP33"
0,0,0,0,0,"AC020743.3"
0,0,2,1,1,"LINC00494"
1,3,1,2,0,"OR7E110P"
0,0,0,0,0,"AL138957.1"
0,0,0,0,0,"KRT18P66"
0,0,0,0,1,"SNRPFP4"
0,0,0,0,0,"TNR-IT1"
0,1,1,0,2,"AC090952.1"
0,0,0,0,0,"RNF148"
0,0,0,0,0,"AC016644.1"
7,18,19,20,31,"NUS1P1"
0,0,0,0,0,"AC069023.1"
0,0,0,0,0,"MTND6P14"
0,0,0,0,0,"AC002069.3"
0,0,0,0,0,"ELOAP1"
0,0,0,0,0,"LINC00484"
0,0,0,0,0,"PTP4A1P5"
0,0,0,2,2,"LINC01647"
0,0,0,0,0,"RPL10P5"
0,0,0,0,0,"LINC02651"
0,0,0,0,0,"MTND1P2"
0,0,0,0,0,"AL022319.1"
0,1,1,3,1,"MXRA5Y"
3,7,10,10,9,"G3BP1P1"
39,62,44,46,41,"AL356599.1"
0,0,0,0,0,"AC007253.1"
671,812,811,1027,1047,"H3P6"
0,0,0,0,0,"RPL36P18"
0,0,0,0,0,"AL391987.4"
4,6,1,3,7,"LINC00345"
0,0,0,0,0,"MIR670HG"
0,0,0,1,0,"SAPCD1-AS1"
1,1,2,2,1,"LINC00298"
0,0,1,1,3,"CHN2-AS1"
0,0,1,1,0,"RPL21P40"
4,3,10,12,4,"AC090286.3"
0,0,0,0,2,"AL929472.4"
1,1,0,0,1,"LDHAP2"
0,0,1,0,0,"NPM1P26"
0,0,0,0,0,"OR5AN2P"
0,0,0,0,0,"AL161651.1"
0,0,0,0,0,"AC245884.3"
0,0,1,0,1,"AC018442.1"
2,0,1,1,0,"AC092473.1"
0,0,0,0,0,"PPIAP20"
0,0,0,0,0,"LINC00993"
0,0,0,0,1,"SNTG2-AS1"
0,0,0,0,0,"AC253536.4"
0,0,0,0,0,"CUBNP3"
0,0,0,0,0,"AC130472.1"
0,0,0,3,1,"PA2G4P2"
0,0,0,0,0,"CXorf51B"
4,17,34,7,34,"CYCSP52"
3,0,1,1,0,"PCBP2P1"
106,172,207,224,213,"LINC00894"
0,0,0,0,0,"AL133481.2"
109,138,128,146,137,"DICER1-AS1"
0,0,0,0,0,"AL158073.1"
0,0,0,0,0,"AL109810.2"
0,0,0,0,0,"ANKRD34C"
0,0,0,0,0,"AC004522.3"
0,0,0,0,0,"KRT18P46"
0,0,0,0,0,"DPP10-AS2"
0,0,0,0,1,"MFRP"
1,9,23,21,10,"GABPAP"
19,25,53,26,46,"AC013268.3"
1,4,0,0,3,"AC009299.2"
0,0,0,0,0,"AC007389.3"
0,0,0,0,0,"AC010148.1"
0,0,0,0,0,"AC007349.3"
0,0,0,0,0,"AL500522.2"
1,0,0,0,1,"OR2AF1P"
0,0,0,0,0,"LINC02250"
6,12,14,16,13,"HMGN1P36"
0,0,0,0,0,"RPL7AP72"
1,0,2,0,2,"AL031275.1"
0,0,0,0,0,"TRIM60P19"
0,0,0,0,0,"AC092647.4"
0,0,0,0,0,"PHACTR2-AS1"
0,0,0,0,0,"LINC02784"
0,1,1,1,1,"AC012308.1"
0,1,0,0,0,"AL139231.1"
0,0,1,0,0,"CTBP2P2"
2,1,1,0,3,"SEPTIN14P12"
0,0,0,2,0,"AL390860.1"
272,381,570,825,768,"KIAA0040"
0,0,0,0,0,"AC098657.1"
0,0,0,0,0,"ARHGAP42P3"
0,2,2,4,2,"MSH2-OT1"
0,0,0,0,0,"MTCO3P46"
3,4,8,8,3,"SNRPGP5"
5,7,8,7,6,"BRD7P5"
21,40,23,37,37,"LINC00607"
1,1,0,1,1,"AP001625.2"
0,0,0,0,0,"AC023347.1"
0,0,0,0,0,"AC063976.4"
1,1,0,2,2,"AC000089.1"
0,0,0,0,0,"DPYD-AS2"
0,0,0,0,0,"AC130360.1"
3,0,7,3,12,"AC079779.3"
0,0,0,0,0,"USP17L27"
0,0,0,0,0,"LINC02569"
0,0,0,0,0,"AL031429.1"
0,0,0,0,0,"HNRNPA1P29"
0,0,0,0,0,"AL109767.1"
0,0,0,0,2,"ZNRF3-IT1"
0,0,0,0,0,"AC092047.1"
2,5,4,9,6,"PEF1-AS1"
0,0,0,0,0,"MTND3P21"
2,3,4,3,5,"AC093157.2"
0,0,0,0,0,"AL160275.3"
0,0,0,0,0,"HCFC1-AS1"
0,0,0,0,0,"MTCO2P23"
0,0,0,0,0,"AL357078.1"
0,2,1,0,0,"SOCS5P3"
0,0,0,0,0,"AF241728.1"
60,113,142,127,157,"MYL6P2"
0,0,0,0,0,"AL731534.1"
0,0,0,0,0,"AL691482.3"
1,0,2,2,0,"ADAM21P1"
0,0,0,0,0,"AL672032.1"
0,7,1,0,0,"AL136099.1"
0,0,1,0,0,"PRELID1P3"
4,6,3,6,3,"AL158214.1"
0,0,0,0,0,"VN1R17P"
26,24,37,33,43,"AL158828.1"
0,0,0,0,0,"AL109935.1"
0,0,0,0,0,"IFITM4P"
51,76,95,79,87,"OLMALINC"
0,0,0,0,0,"LINC00837"
0,1,0,0,0,"TUBB8P9"
0,0,0,0,0,"RPL36AP26"
0,0,0,0,0,"TBCAP2"
3,0,0,0,1,"SRGAP3-AS4"
13,16,35,17,25,"BHLHE40-AS1"
0,0,0,0,0,"CNN2P3"
0,0,0,0,0,"AC017099.1"
0,0,0,0,0,"Z93022.1"
0,0,0,1,0,"KIF3AP1"
3,1,0,0,0,"AC073333.1"
0,0,0,0,0,"HSP90AB7P"
1,0,1,1,0,"AC012363.3"
0,1,0,1,1,"AL390961.2"
0,0,0,0,0,"AC098649.1"
1,0,3,2,5,"LDHAP7"
0,1,2,3,4,"RMDN2-AS1"
0,0,0,0,0,"HS6ST2-AS1"
2,5,6,12,13,"AC005540.1"
0,0,0,0,0,"OR7E145P"
0,0,0,0,0,"CTBP2P1"
0,0,0,0,0,"AL359195.1"
67,71,84,138,107,"AC006978.1"
0,0,0,0,0,"AC005237.2"
0,0,0,0,0,"AL590648.2"
0,0,1,0,0,"B3GALT4"
0,1,0,0,0,"HSPA8P6"
1,3,4,0,1,"GSN-AS1"
0,0,0,0,0,"GAPDHP31"
0,0,0,0,0,"Z99127.2"
0,0,0,0,0,"AC062016.2"
0,0,0,1,0,"AC078777.1"
0,0,0,0,0,"ARHGEF7-AS2"
0,0,0,0,0,"FEM1AP4"
0,3,0,2,0,"FAR1P1"
0,0,0,0,0,"AL158832.1"
0,0,0,0,0,"AC114776.1"
0,0,0,0,0,"LINC00941"
0,1,1,0,0,"LINC01828"
0,0,0,0,0,"AC006055.1"
0,0,0,0,0,"LINC02799"
2,9,12,10,16,"AF064858.1"
0,2,3,2,1,"TSPEAR-AS1"
1,1,2,2,1,"PKMP2"
0,0,0,0,0,"BX284632.1"
0,0,0,0,0,"AC010154.1"
13,9,20,15,10,"TM4SF19-AS1"
1,0,2,2,0,"LINC01564"
0,0,0,0,0,"AL442644.1"
0,0,0,0,0,"AC108472.1"
6,2,5,3,5,"CPB2-AS1"
1,4,2,2,2,"RBMS3-AS3"
0,1,3,1,4,"AC115285.1"
1,7,8,2,1,"RHOA-IT1"
0,1,2,0,1,"APOA1-AS"
0,0,0,0,0,"AC019055.1"
3,1,3,6,4,"AL031729.1"
0,0,0,0,0,"MACROD2-AS1"
0,2,1,1,1,"AC233279.1"
0,1,0,2,0,"MTCO2P11"
101,110,110,136,114,"ASH1L-AS1"
0,1,0,2,0,"AC073109.1"
0,0,0,0,0,"AL354766.1"
0,0,0,0,0,"ZNRF2P3"
0,0,0,0,0,"RPS29P15"
0,1,0,0,0,"NEXN-AS1"
0,0,0,0,0,"TPT1P14"
0,0,0,0,0,"HSPE1P12"
0,0,0,0,0,"LINC01553"
0,0,0,0,0,"AL359955.2"
0,0,0,0,0,"LINC01779"
2,4,2,7,9,"AC007405.3"
0,0,0,0,0,"RPL21P30"
16,19,7,22,20,"AL138760.1"
0,0,0,0,0,"MTND1P21"
0,1,0,0,0,"LCE6A"
0,0,0,0,0,"TMEM212-IT1"
26,32,41,41,40,"ZNF815P"
0,0,0,0,0,"AC002543.1"
15,13,13,15,15,"H2BW3P"
22,62,62,52,70,"EGOT"
0,0,0,0,0,"AC009965.2"
174,235,335,333,315,"TTC28-AS1"
0,0,0,0,0,"CICP20"
0,1,1,1,1,"COX7CP1"
0,1,0,0,0,"UBOX5-AS1"
0,0,1,1,0,"AC009237.6"
127,148,188,203,196,"PNMA6A"
0,0,0,0,0,"RPL7AP53"
0,0,0,0,0,"MCCD1P1"
0,1,0,0,0,"FXYD6P2"
0,0,0,0,0,"AP000431.2"
0,0,0,0,1,"COX5BP3"
0,0,0,0,0,"AC079112.1"
0,0,0,0,0,"CHEK2P4"
0,0,0,0,1,"AL355497.2"
0,0,0,0,0,"VN2R19P"
0,0,0,0,0,"Z83313.1"
0,0,0,0,0,"H2BP8"
10,22,39,24,38,"AC018816.1"
0,0,0,0,0,"AC004448.2"
0,0,0,0,0,"AC023274.2"
0,0,0,0,0,"GPC5-AS1"
0,0,0,0,0,"AC245100.5"
7,10,10,7,12,"MORC2-AS1"
1,2,3,4,4,"RPL23AP20"
0,0,0,0,1,"BX293995.1"
0,0,0,0,0,"GRAMD4P2"
0,0,0,0,0,"AC007559.1"
5,9,7,8,5,"HGC6.3"
0,0,0,0,0,"UBE2V1P6"
0,0,0,0,0,"AL136090.1"
18,15,27,29,32,"LINC01936"
0,0,0,0,0,"TAAR7P"
0,0,0,0,0,"AC007731.4"
0,0,0,0,0,"AL139156.3"
0,0,0,0,0,"AL389915.1"
0,0,0,0,0,"MTCO1P46"
86,132,185,231,191,"LINC01814"
0,0,0,0,0,"AL592309.2"
1,0,0,0,0,"HIGD1AP12"
2,1,1,2,2,"AL357146.1"
0,0,0,0,0,"AC011290.2"
0,0,0,0,0,"ASMTL-AS1"
0,0,0,3,1,"AC004898.1"
8,5,6,7,6,"AL591043.2"
0,0,0,0,0,"AC106017.1"
0,0,0,2,2,"PRRX2-AS1"
0,0,0,0,0,"AL139135.1"
0,0,0,0,0,"AC009237.7"
0,0,0,0,0,"PATE3"
0,0,0,0,0,"AL354766.2"
0,0,0,2,0,"AL591721.1"
0,0,0,0,0,"OR5H14"
0,0,0,0,1,"NSA2P1"
0,0,0,0,0,"LINC00445"
22,27,52,39,28,"AC019117.2"
1,0,2,1,3,"CHIAP1"
0,0,0,0,0,"COX6CP18"
0,0,0,0,0,"Z74696.2"
0,0,0,2,1,"FABP5P2"
0,0,0,0,0,"AL031283.2"
0,0,0,0,0,"AC004920.1"
1,0,2,2,3,"RPL13AP12"
1,1,0,1,0,"AC013470.3"
0,0,0,0,0,"LINC01920"
2,3,4,3,6,"MYCBP2-AS1"
0,0,0,0,0,"LINC01643"
0,0,0,1,0,"LINC01067"
0,0,0,0,0,"Z82246.1"
2,1,2,1,0,"GAPDHP14"
0,6,3,5,3,"RPL17P36"
8,8,37,39,43,"HSPB1P1"
0,0,0,0,0,"GSTM5P1"
5,3,8,5,5,"AL109946.1"
0,0,0,1,0,"AL020995.1"
0,0,0,0,0,"AC091862.1"
3,5,1,2,2,"AL136987.1"
0,0,0,0,0,"AL592043.2"
0,0,0,0,0,"AL627311.1"
0,0,0,0,0,"AL359475.1"
0,0,0,0,0,"LINC01072"
0,0,0,0,0,"SLC6A14P1"
0,0,2,0,0,"LINC01447"
0,0,0,0,0,"Z85994.2"
0,0,0,0,0,"YAP1P2"
57,37,31,35,53,"ELFN1-AS1"
0,0,0,0,0,"OR13E1P"
0,0,0,0,0,"ACTG1P4"
0,0,0,0,0,"HMGN2P28"
156,228,329,356,357,"COX10-AS1"
3,0,2,4,1,"LDHAP3"
0,0,0,0,0,"LINC02243"
0,1,0,0,0,"LINC00545"
2,6,9,6,11,"AL807757.2"
0,0,0,0,0,"BNIP3P2"
1,0,1,6,1,"AC097059.1"
0,0,0,0,0,"AC013403.1"
0,0,0,0,0,"RAC1P7"
0,0,0,0,0,"AC006967.2"
6,12,11,11,9,"ZBTB22"
0,0,0,1,4,"PRELID3BP10"
2,2,6,5,3,"AC010729.1"
2,2,1,3,3,"SCN1A-AS1"
0,0,0,0,0,"AC093422.3"
0,0,0,0,0,"AC013402.3"
0,0,0,0,0,"OR2AM1P"
0,0,0,0,0,"AL603882.1"
2,4,8,12,6,"AL450326.2"
0,0,0,0,0,"AL136097.2"
0,0,0,0,0,"AC064853.1"
0,0,0,0,0,"LINC01639"
0,0,0,0,0,"AC245517.4"
0,0,0,0,0,"AP000688.3"
1,0,0,1,1,"AC110995.1"
0,0,0,0,0,"HAUS6P2"
0,0,0,0,0,"CEACAMP11"
0,0,0,0,1,"HMGN2P23"
0,0,0,0,0,"USP17L4"
0,0,0,0,0,"CT47A3"
0,0,0,0,0,"AP002856.3"
2,2,5,3,1,"PTCSC2"
0,0,0,0,0,"MED13P1"
0,0,0,0,0,"AL022331.1"
0,0,0,0,0,"LINC01069"
0,0,0,0,0,"ADORA2BP1"
27,34,33,36,39,"AL445231.1"
0,1,0,1,0,"DUX4L26"
0,0,1,0,1,"AC245014.1"
0,0,0,0,0,"AC013727.2"
617,802,993,1038,1184,"TMEM147-AS1"
1,1,0,0,2,"AC079988.1"
0,2,0,0,0,"AL353803.3"
0,0,7,1,1,"RPL23AP37"
0,0,0,0,0,"AL110503.1"
0,0,1,0,1,"MRPS36P1"
2,1,3,4,2,"AC104076.1"
0,1,0,0,2,"AL450311.1"
0,0,0,0,0,"ZPLD2P"
0,0,0,0,0,"CHCHD4P3"
0,0,0,0,0,"RFC3P1"
1,0,1,0,0,"AL031659.1"
0,0,0,0,0,"AC005345.1"
1,0,1,1,0,"AC092687.2"
0,0,0,0,0,"AL161618.1"
1,1,0,2,1,"PRADC1P1"
0,0,1,0,0,"AL021408.1"
0,0,0,0,0,"GAPDHP57"
0,0,0,0,0,"AL133466.1"
0,0,0,0,0,"IGHD1-1"
0,0,0,0,0,"RPL12P26"
0,0,0,0,0,"MIR7515HG"
0,0,0,0,0,"AL049612.1"
0,0,0,0,0,"SSU72P6"
0,0,0,0,0,"LINC00353"
0,0,0,0,0,"PRAMEF35P"
0,0,0,0,0,"AL445669.1"
0,0,0,0,0,"AC009319.1"
3,2,3,2,1,"TCEA1P4"
0,0,0,0,0,"HNRNPDLP3"
0,0,0,0,0,"GJA6P"
0,0,0,0,0,"PRKX-AS1"
4,5,5,9,6,"RPL18AP15"
0,0,0,0,0,"Z82210.1"
6,3,8,3,10,"RPS15AP25"
0,0,0,0,0,"LINC01953"
1,5,3,6,9,"AC099811.1"
0,0,0,0,0,"RNMTL1P2"
0,1,2,4,1,"PPP1R9A-AS1"
0,0,0,0,0,"AL359076.1"
25,50,45,49,59,"KDM4A-AS1"
0,0,0,0,0,"GRM7-AS1"
22,20,12,12,31,"LINC01376"
0,0,0,0,0,"AL023773.2"
2,1,0,0,2,"AL356441.1"
0,0,0,0,0,"C10orf71-AS1"
0,0,0,0,0,"AC104135.1"
0,0,0,0,0,"MTCO1P7"
0,0,0,0,0,"AC009262.1"
1,4,1,0,0,"AC006369.1"
0,0,0,0,0,"PPP1R11P1"
0,0,1,0,1,"C1DP2"
0,0,1,0,0,"AC073127.1"
2,2,6,2,3,"VEZF1P1"
2,2,0,0,0,"AL356108.1"
0,0,0,0,0,"AC017048.2"
0,0,0,0,0,"MTCYBP24"
0,0,0,0,0,"AC091132.2"
0,0,0,0,0,"AP000542.1"
0,0,0,0,0,"AC093106.1"
0,0,0,0,0,"GPC5-IT1"
0,0,0,0,0,"AC119744.1"
0,0,1,1,1,"MYO16-AS1"
0,0,0,0,0,"RPL6P29"
1,0,0,0,0,"AL122008.4"
0,0,0,0,0,"AC073135.1"
0,0,0,0,0,"AC104389.4"
0,0,0,0,0,"AL512605.1"
1,0,0,0,0,"SLC25A3P1"
0,0,0,3,0,"MTND4P14"
51,40,44,62,56,"AC009404.1"
0,0,0,1,0,"DIAPH2-AS1"
0,1,1,0,0,"EI24P2"
0,0,0,0,0,"TIMM8BP1"
0,0,0,0,0,"PPIAP64"
0,0,0,0,0,"AC064862.4"
0,0,0,0,0,"SHANK2-AS2"
9,13,12,11,16,"AC234582.2"
8,14,4,7,11,"RPL26P30"
0,0,0,0,0,"Z98884.1"
0,0,0,0,0,"AP006216.2"
1,0,0,0,0,"LINC01361"
0,0,0,0,0,"Z82214.2"
0,0,0,0,0,"AC004865.1"
0,0,0,1,3,"NDP-AS1"
0,0,0,0,0,"NIPA2P5"
0,0,0,0,0,"PEBP1P3"
1,0,4,2,3,"CLEC2L"
0,0,0,0,0,"AC114737.3"
0,1,2,2,1,"NDUFB9P2"
12,19,21,36,37,"AC019197.1"
0,0,0,0,0,"VN1R31P"
1,3,7,8,4,"NPM1P8"
731,925,1126,1408,1454,"ZBED5"
6,5,7,5,10,"GACAT3"
0,0,0,0,1,"EEF1GP7"
0,0,0,0,0,"AC138024.1"
0,0,0,0,0,"AC007557.3"
0,2,2,0,1,"GUSBP5"
1,1,1,1,0,"AC048351.2"
0,0,3,0,0,"AC092634.4"
0,0,0,0,0,"MTND4LP12"
0,1,2,0,0,"MRGPRG-AS1"
0,0,0,0,0,"LINC02646"
0,0,0,0,0,"AP001189.1"
8,14,14,15,18,"SLC12A9-AS1"
0,0,0,0,0,"LINC01241"
8,22,22,10,16,"EEF1E1P1"
1,0,1,0,1,"AL138921.2"
5,16,13,5,9,"TLX1NB"
3,5,6,5,5,"RPL34P34"
0,0,0,0,0,"VN1R53P"
0,0,0,0,0,"OR7E109P"
0,2,0,0,3,"AC104333.2"
0,0,2,0,0,"AC019117.3"
1,0,0,0,0,"AC105021.1"
1,0,4,0,1,"SLFN14"
0,0,0,0,0,"BMP6P1"
0,0,0,0,0,"AL035634.1"
0,0,0,0,0,"AC005300.1"
0,0,0,0,0,"AL050331.2"
0,0,0,0,0,"AL831737.1"
0,0,0,0,0,"RPL5P9"
0,0,0,0,0,"AP001604.1"
0,0,0,2,2,"TRHDE-AS1"
0,0,1,0,0,"PPIAL4G"
0,0,0,0,0,"AL161638.2"
0,0,0,0,0,"CDYL-AS1"
1,8,5,9,12,"FMR1-IT1"
0,0,0,0,0,"POM121L13P"
0,0,0,0,0,"GRM8-AS1"
0,0,0,1,0,"AL161740.1"
0,0,0,0,0,"EI24P4"
0,0,1,0,1,"SCAT8"
0,0,0,0,0,"AL513123.1"
5,7,11,8,18,"PSMC1P10"
4,12,12,6,15,"SUCLG2P2"
1,0,1,1,3,"AC005220.1"
0,0,0,0,0,"LINC00437"
0,0,0,0,0,"AL391415.1"
0,0,0,0,0,"AC079584.1"
0,0,0,0,0,"EI24P1"
0,0,0,0,0,"AL355472.2"
0,0,0,0,0,"OR51B8P"
5,3,8,9,11,"RRAS2P1"
0,0,0,0,0,"GAGE12F"
2,4,1,2,0,"AL358115.1"
0,0,0,0,0,"AL008987.1"
1,3,7,5,1,"AL359313.1"
0,0,0,0,0,"CT47A1"
0,0,0,0,0,"AL353052.2"
0,0,0,0,0,"LINC02653"
0,0,1,0,0,"POU5F1P5"
0,0,0,0,0,"AL353780.1"
0,4,1,0,0,"AC084809.2"
0,0,0,0,0,"AL133319.1"
0,0,0,0,0,"ZNF736P4Y"
0,0,0,0,0,"VENTXP7"
0,0,0,0,0,"KRTAP10-13P"
1,2,2,6,3,"CCDC200"
33,33,43,51,52,"LINC00479"
0,0,0,0,0,"AC026355.3"
0,0,0,0,0,"AC009518.2"
0,0,0,0,0,"AL139350.1"
0,0,0,0,0,"ITCH-AS1"
0,0,0,0,0,"AL121970.1"
0,0,0,0,0,"AC092800.1"
22,87,145,64,95,"AC092573.2"
0,1,0,2,3,"AC091806.1"
0,0,0,0,0,"AL807752.4"
0,0,0,0,0,"AC093106.2"
0,0,0,0,0,"SLC35G4"
8,14,5,10,13,"DDX11L2"
0,0,0,0,0,"TAS2R39"
0,0,0,0,0,"KRTAP21-4P"
0,0,0,0,0,"SLC4A1APP2"
0,0,0,0,0,"AL353611.1"
46,29,57,56,81,"VLDLR-AS1"
0,0,0,0,0,"UBQLN1P1"
0,0,0,0,0,"HMGB1P18"
0,0,0,0,0,"AC073336.1"
20,32,26,28,36,"NRADDP"
3,5,2,1,2,"NDUFAF4P3"
0,0,0,0,0,"AC092941.2"
0,0,0,0,0,"AL662874.1"
0,0,0,1,0,"AC004415.1"
0,0,0,0,0,"CTSLP1"
0,1,3,0,0,"CHCHD3P1"
17,26,35,30,50,"LINC01134"
0,0,0,0,0,"TSPY10"
0,0,0,0,0,"AC069213.2"
0,0,0,0,0,"AL583824.1"
0,0,1,2,0,"AL589986.2"
0,0,0,0,0,"GPM6BP2"
0,0,0,0,0,"KRT8P29"
1,0,0,0,0,"AC009237.8"
17,39,22,40,27,"MFF-DT"
0,0,0,0,0,"RPL37P21"
0,0,0,0,0,"AL162430.3"
0,0,0,0,0,"TSPY12P"
0,0,0,0,0,"LINC02850"
0,0,0,0,0,"LINC02151"
81,103,119,154,152,"FAM157A"
49,72,115,86,122,"AC099336.2"
0,0,0,0,0,"COPRSP1"
0,0,0,0,0,"ANKRD54P1"
2,6,10,9,16,"UBE2L5"
0,0,0,0,0,"LINC00608"
0,0,0,0,0,"CT47B1"
0,0,0,1,0,"ATG10-IT1"
0,2,1,0,2,"AC010894.3"
0,0,0,0,0,"AL590399.6"
0,2,2,2,0,"AC067956.1"
0,0,0,1,0,"AC123023.1"
0,0,1,0,0,"AC003092.1"
8,10,16,6,17,"AL035458.1"
0,0,0,0,0,"AC090617.1"
0,0,4,2,0,"HNRNPA1P22"
0,0,0,0,0,"SNX2P2"
0,0,0,0,0,"AL162425.1"
0,0,0,0,0,"LINC00427"
0,0,0,0,0,"LINC02559"
0,0,0,1,0,"AL035670.1"
0,0,0,0,1,"KCNMA1-AS1"
2,8,4,14,6,"AC099335.1"
1,0,0,0,0,"AC007881.2"
1,0,0,2,0,"AF127577.5"
0,1,0,1,2,"AC002401.1"
0,0,0,0,0,"KRT43P"
0,0,0,1,0,"GCNT1P1"
0,0,0,0,0,"TRIM26BP"
0,0,0,0,0,"AL593856.1"
0,0,0,0,0,"RPS24P1"
0,0,0,0,0,"AC012513.2"
20,27,47,46,47,"PKMP1"
0,0,0,0,0,"LINC02195"
1,1,2,0,0,"MTND2P40"
0,0,0,0,0,"RRM2P2"
0,0,0,0,0,"LINC01945"
0,0,0,0,0,"AC079168.1"
0,1,1,3,0,"AC133473.1"
0,0,0,0,0,"AC234771.4"
6,4,4,5,10,"EIF2S2P3"
0,0,0,0,0,"AC008080.4"
1,0,2,3,1,"AL158168.1"
0,0,0,0,1,"GPS2P1"
0,0,0,0,0,"LINC01744"
3,5,1,2,2,"AC107081.2"
4,1,5,4,8,"LINC00896"
0,0,0,0,0,"CD24P1"
0,1,0,0,1,"AC074286.1"
52,49,53,53,73,"SIX3-AS1"
0,0,0,0,0,"AC009784.1"
0,0,0,1,0,"AC087499.5"
0,0,0,1,0,"AL356379.1"
3,0,7,7,0,"BX470209.2"
3,1,6,7,3,"ATP13A5-AS1"
2,8,2,1,3,"RPL21P133"
0,0,0,0,0,"AC011284.1"
4,1,0,4,5,"LINC01231"
0,1,0,0,1,"AL390026.1"
0,0,0,0,0,"AC074035.1"
15,14,15,16,16,"AL135791.1"
0,0,1,0,0,"KLF2P4"
5,3,2,6,7,"LINC01424"
0,0,0,0,0,"GPC6-AS1"
0,0,0,0,0,"NPAP1P4"
0,0,0,0,0,"NPM1P40"
0,0,0,0,0,"AC007278.2"
1,1,1,1,1,"AL035448.1"
1,5,2,2,1,"ARF4P2"
5,18,7,10,9,"AL033528.3"
22,18,15,20,28,"AC093582.1"
0,0,0,0,0,"KPNA2P1"
0,0,0,0,0,"AC006013.1"
0,0,0,0,0,"LINC01695"
1,1,3,6,1,"RPS12P4"
1,5,2,4,3,"H3P36"
0,1,0,0,0,"RC3H1-IT1"
0,0,0,0,0,"AC003986.3"
0,0,0,0,0,"ZNF863P"
1,6,5,2,10,"HNRNPA1P54"
1,1,3,1,0,"AC006547.1"
0,0,0,0,0,"VN2R9P"
0,0,0,0,0,"MED28P7"
3,6,0,0,3,"AL354761.1"
0,0,0,0,0,"AC008060.3"
0,0,0,0,0,"AP001619.2"
2,1,1,1,0,"MYCL-AS1"
14,27,39,29,43,"RNF217-AS1"
0,0,0,0,0,"RPS27AP7"
0,0,0,0,0,"AL109809.3"
35,36,54,53,81,"RPL13AP5"
0,1,1,2,1,"ASNSP3"
0,0,0,0,0,"AC115115.1"
0,0,0,0,0,"AC025038.1"
0,2,0,0,2,"BCL2L1-AS1"
0,0,0,0,0,"IFITM3P1"
0,0,0,0,0,"YWHAQP5"
27,45,67,91,91,"HNRNPA3P5"
0,0,1,0,4,"TCF3P1"
0,0,0,0,0,"HNRNPA1P73"
13,7,18,23,24,"RAD23BP1"
0,0,0,0,0,"AC245102.3"
0,0,0,0,0,"AC006369.2"
0,0,0,0,0,"AC092634.5"
0,0,0,0,0,"AC241520.1"
0,5,0,1,1,"SNRPGP14"
0,0,0,0,0,"AC073626.2"
0,0,1,0,0,"STARD13-AS"
0,0,0,0,0,"PRPF38AP2"
0,0,0,0,0,"AP004290.1"
0,0,0,0,0,"MTATP6P4"
0,0,1,1,0,"AL357992.1"
