"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
0,0,0,0,0,"AP000470.1"
0,0,0,0,0,"RPL21P32"
22,14,14,16,25,"MIR181A2HG"
11,4,10,13,9,"EDRF1-DT"
1,0,0,0,0,"AL353616.1"
0,0,0,0,0,"AL133456.1"
0,0,0,0,0,"LINC01853"
0,0,0,0,0,"AL450344.1"
1,0,1,0,0,"TCEAL3-AS1"
146,135,176,238,160,"EPB41L4A-AS1"
0,0,0,0,0,"CDY8P"
2,4,3,9,5,"LINC02561"
0,0,0,0,0,"SFPQP1"
0,0,0,0,0,"BX005214.1"
0,0,0,0,0,"CDYLP1"
5,11,4,12,4,"HMGN1P4"
0,0,0,0,0,"IGKV3D-15"
0,0,0,0,0,"MTND4P6"
78,57,85,134,84,"CCNT2-AS1"
0,1,1,0,0,"PAEPP1"
11,9,11,13,10,"AC005076.2"
4,0,0,0,0,"LINC02612"
0,0,0,0,0,"AC108681.1"
1219,1472,1438,1678,1321,"CPTP"
0,0,0,0,0,"AL022163.1"
0,0,0,0,0,"GAPDHP55"
0,0,0,0,1,"EGFR-AS1"
0,0,0,0,0,"AC006509.1"
0,0,0,0,0,"HSPA8P16"
0,0,0,0,0,"ARSLP1"
0,0,0,0,1,"SRSF3P4"
0,0,0,0,0,"TUBB4BP5"
1,3,1,1,4,"AC007319.1"
21,38,27,24,39,"AL356390.1"
0,0,0,0,0,"SRIP2"
50,45,60,62,49,"AL049795.1"
6,4,8,5,6,"AL354877.1"
0,0,0,0,0,"BX842559.1"
0,0,0,0,0,"HMGN1P6"
0,0,0,0,0,"AC009474.1"
2,0,1,0,0,"AL139811.1"
0,0,0,0,0,"LINC00691"
0,0,0,0,0,"TTTY22"
0,0,0,0,0,"AC009487.1"
0,0,1,0,0,"AP000936.1"
1036,709,1002,1370,1119,"SNHG14"
0,0,0,0,0,"AC091729.1"
40,49,52,46,64,"UBE2FP1"
72,81,100,124,47,"SLC44A3-AS1"
0,0,0,0,0,"UBTFL8"
0,0,2,1,0,"MTCO1P11"
0,0,0,0,0,"RPL23AP41"
22,32,40,41,33,"PPM1F-AS1"
0,0,0,0,0,"POTEF-AS1"
0,0,0,0,0,"CT47A10"
3,2,2,3,1,"AC097468.1"
0,0,0,0,0,"AC104389.2"
0,0,0,0,0,"AL591644.1"
3,4,4,4,3,"BCAR3-AS1"
2,2,1,1,0,"RPS24P8"
0,0,0,0,0,"LINC01935"
8,11,2,5,5,"AC021148.1"
0,0,0,0,0,"AC104823.1"
3,0,0,1,0,"AP001630.1"
0,0,0,0,0,"ELMO1-AS1"
0,0,0,0,0,"AC079809.1"
0,0,0,0,0,"CYP4F25P"
0,0,0,0,0,"ETDB"
3,1,1,1,0,"CENPVL3"
0,0,0,0,0,"MTRF1LP2"
0,0,0,1,1,"AL591846.2"
11,2,9,7,9,"INHBA-AS1"
1,4,1,1,1,"PTPN2P2"
0,0,0,0,0,"ATG12P2"
0,0,0,0,0,"POU6F2-AS1"
0,0,0,0,0,"POM121L10P"
0,1,3,0,0,"UBE2SP2"
0,0,0,1,0,"AC099786.1"
2,5,2,3,0,"LINC01248"
0,0,0,0,1,"DPPA2P2"
0,0,3,0,0,"AC112715.1"
0,0,0,0,0,"AC004866.2"
0,0,0,0,0,"AC007568.1"
0,0,0,0,0,"LINC01857"
0,0,0,0,0,"AC000123.1"
114,115,126,121,119,"MIR548XHG"
0,0,0,1,0,"AMMECR1-IT1"
0,0,0,0,0,"ASH2LP1"
0,0,0,0,0,"AC099786.2"
0,0,0,0,0,"USP9YP28"
76,70,94,84,68,"AC009506.2"
0,0,0,0,0,"LINC02054"
0,2,0,2,0,"AC073136.2"
0,0,0,0,0,"HCG14"
0,0,1,0,0,"HMGB1P9"
0,0,0,0,0,"CICP10"
0,0,0,0,0,"RPS26P54"
0,0,0,0,0,"UQCRHP3"
0,1,0,1,0,"AC025594.1"
1,1,0,0,0,"LINC02828"
18,17,29,25,18,"DNAJC27-AS1"
0,0,0,0,0,"PRYP1"
37,26,37,55,57,"LINC01357"
0,0,0,0,0,"HSFY6P"
1,0,0,0,0,"AC091799.1"
0,0,0,0,0,"LINC02831"
0,0,0,0,0,"AL137802.1"
0,0,0,0,0,"LINC00570"
0,0,0,1,1,"SDHDP6"
1,0,0,0,1,"MIR3681HG"
0,0,0,0,0,"SNX18P9"
15,18,25,15,16,"C5orf66"
0,0,0,0,0,"LINC01991"
0,0,0,0,0,"UBE2D3P4"
6,13,2,8,7,"HAGLR"
0,0,0,0,0,"LINC02667"
0,0,0,0,0,"AL080273.1"
0,0,1,2,0,"AC008278.1"
1,0,0,1,0,"AC022400.1"
0,0,0,0,0,"RPS23P10"
0,0,0,0,0,"PHEX-AS1"
0,0,0,0,0,"AC253536.1"
0,0,0,0,0,"AC018797.1"
0,0,1,2,0,"AL590762.3"
1,1,1,0,0,"LINC00466"
0,0,0,0,0,"TRIM60P5Y"
1,0,0,0,0,"AL606469.1"
2,2,9,5,11,"AC234781.1"
3,1,1,4,4,"BX119904.1"
0,0,0,0,0,"AC107072.1"
0,0,0,0,0,"AC074290.1"
0,0,3,1,0,"DTNB-AS1"
0,1,0,0,1,"RPS6P8"
7,4,6,4,4,"LINC02636"
0,0,0,0,0,"VSTM2A-OT1"
0,0,0,0,0,"HAUS1P2"
0,0,0,0,1,"OR2L1P"
0,0,0,0,0,"AL031599.1"
0,0,0,0,0,"LINC01832"
0,0,0,0,1,"AC005104.2"
0,0,0,0,0,"OR2J4P"
6,2,0,2,2,"MRRFP1"
4,8,1,10,8,"MICOS10P3"
1,1,0,0,1,"WARS2-IT1"
0,0,0,0,0,"AC090044.1"
0,0,0,0,0,"CYCSP49"
2,1,1,1,1,"SOX1-OT"
0,0,0,0,0,"AC073508.1"
0,0,0,0,0,"AL358232.1"
0,0,0,0,0,"AJ009632.1"
0,0,0,0,0,"AC025947.1"
3,1,2,9,2,"AL391427.1"
0,0,0,0,0,"AC113618.1"
0,0,0,0,0,"MTCO1P39"
0,0,0,1,0,"PDCL3P6"
0,0,0,0,0,"Z93930.1"
0,0,0,0,0,"VWC2L-IT1"
410,527,465,631,585,"LINC01133"
0,0,0,0,0,"AL023754.1"
4,7,6,4,8,"RPSAP18"
0,0,0,0,0,"CYCSP12"
3,11,4,7,2,"LINC02633"
0,0,0,0,0,"AL772155.1"
4,9,8,10,7,"AP000697.1"
48,19,26,45,25,"AL117329.1"
0,0,0,0,0,"AC131097.2"
3,2,4,1,5,"AC005077.2"
0,0,0,0,0,"ENSAP1"
1,0,0,0,0,"ARHGEF2-AS1"
0,0,0,0,0,"AP000345.1"
0,0,0,0,0,"AL592447.1"
0,0,0,0,0,"RPS29P31"
0,1,2,1,2,"AC005014.1"
27,15,12,25,20,"SLC25A5-AS1"
0,3,0,0,0,"AC010469.1"
0,0,0,0,0,"LINC01142"
7,5,2,11,8,"MSL3P1"
0,0,0,0,0,"MTCYBP11"
0,0,0,0,0,"IFIT6P"
0,0,0,0,0,"RPL38P6"
2,1,2,3,2,"AF196972.1"
0,0,0,0,0,"PINCR"
7,5,11,10,12,"OLFM5P"
0,0,0,0,0,"MRPL49P1"
0,0,0,0,0,"AL158825.1"
0,0,0,0,0,"MTATP6P16"
0,0,0,0,0,"OR51P1P"
0,2,1,0,0,"AL590502.1"
0,0,0,0,1,"AL500527.1"
4,1,0,3,2,"AL161785.1"
0,0,0,0,0,"LINC01527"
0,0,0,0,0,"ANKRD30BP2"
0,0,0,2,0,"LINC01567"
0,0,0,0,0,"AL590640.1"
0,0,0,0,0,"MCCD1P2"
0,0,0,0,0,"AC005002.1"
2,0,0,0,0,"RPL7P7"
14,7,17,10,7,"GTF2IP5"
0,0,0,0,0,"CHL1-AS2"
6,16,10,5,10,"RPL12P14"
0,0,0,0,0,"AC004009.1"
0,0,0,0,0,"DPRXP1"
4,1,1,2,1,"THAP5P1"
0,3,0,2,2,"AL136234.1"
0,0,1,0,0,"MDC1-AS1"
0,0,0,0,0,"LINC00297"
0,0,0,0,0,"AC005019.2"
1,2,5,3,0,"AC019181.1"
0,0,0,0,0,"GAPDHP20"
0,0,0,1,0,"AP000357.1"
0,0,0,0,0,"AC239809.1"
0,0,0,0,0,"FAM197Y1"
0,0,1,0,0,"FAM8A3P"
0,0,0,0,0,"MTCYBP45"
0,0,0,0,0,"AL121578.1"
0,2,0,0,0,"AL590639.1"
0,0,0,0,0,"AC006965.1"
0,0,0,1,0,"AC007879.1"
0,0,0,0,0,"KNOP1P3"
0,0,0,0,0,"BICD1P1"
0,0,0,0,0,"SCEL-AS1"
0,0,0,0,0,"AL592076.1"
2,0,0,0,0,"FAM135A-AS1"
0,0,0,0,0,"CDKN2AIPNLP3"
0,0,0,0,0,"AC132479.1"
0,0,0,0,0,"ACE3P"
0,0,0,0,0,"MTND2P5"
0,3,4,6,0,"AL356966.1"
0,0,0,0,0,"ATG3P1"
9,9,5,6,16,"TMCO1-AS1"
0,0,0,0,0,"AL358176.1"
0,0,0,0,1,"AC011239.1"
0,0,0,0,0,"FP700111.1"
0,0,0,0,0,"AC073261.1"
0,0,0,0,0,"AC243964.1"
1,0,0,0,1,"OACYLP"
0,0,0,0,0,"ARAFP2"
0,0,0,0,0,"AC093392.2"
0,0,0,0,0,"AL391361.2"
0,0,0,0,0,"HLA-N"
0,0,0,0,0,"IGHV4-59"
0,0,0,0,0,"AL023693.1"
0,0,0,0,0,"AC009276.1"
24,13,20,25,15,"AC017104.1"
0,0,0,1,0,"LINC00703"
15,13,19,15,8,"PRR29"
0,0,0,0,0,"AL033379.1"
0,0,0,0,0,"AL139246.1"
0,0,1,6,1,"BACE2-IT1"
73,39,79,64,20,"C4B"
0,0,0,0,0,"LINC01280"
0,0,0,0,0,"GPC6-AS2"
0,0,0,0,0,"METTL15P3"
154,96,153,163,111,"SMIM25"
1,1,0,0,2,"AC010880.1"
0,0,0,0,0,"RPL7P57"
0,0,1,0,0,"OR6D1P"
1,1,1,2,2,"DPPA2P3"
0,0,0,0,0,"Z68323.1"
0,0,0,0,0,"LINC00572"
0,0,0,0,0,"LINC02052"
0,0,3,5,0,"AL136988.1"
0,0,0,0,0,"USP9YP22"
0,0,0,0,0,"AC114489.2"
0,0,0,0,0,"AC097499.1"
25,19,14,34,33,"HSP90AA2P"
0,0,0,0,0,"AC022022.1"
0,0,0,0,0,"AP001476.1"
0,0,0,0,0,"AC010886.1"
0,1,2,1,0,"AC007683.1"
0,1,0,3,0,"IFNA22P"
0,0,0,0,0,"AL606970.1"
13,3,6,8,5,"STK24-AS1"
0,0,0,0,0,"KRT18P27"
33,55,40,42,51,"ADM5"
0,0,0,0,0,"ATP5MFP1"
20,21,37,35,29,"PRKAR2A-AS1"
0,1,0,1,0,"SSBP3P2"
4,6,6,3,9,"SLC31A1P1"
2,1,0,2,4,"AP000281.2"
2,1,2,8,1,"LINC00539"
1,2,2,1,0,"MKRN5P"
0,0,0,0,0,"AC063976.2"
0,0,0,1,0,"NF1P6"
0,0,0,0,0,"BX323014.1"
1,0,0,0,1,"PIGUP1"
0,0,0,0,0,"RPL23AP14"
0,0,0,0,0,"RPSAP10"
0,0,0,0,0,"CXorf51A"
0,0,0,0,0,"RPL4P7"
0,0,0,0,0,"AC006509.2"
0,0,0,0,1,"LINC01708"
0,0,0,0,0,"H3P26"
0,0,0,0,0,"AC005020.1"
1,0,0,0,0,"ATP5PBP1"
0,0,0,0,0,"RSL24D1P6"
8,6,4,8,17,"GUSBP6"
2,1,0,0,0,"SLC25A34-AS1"
0,0,0,0,0,"C4BPAP1"
0,0,0,0,0,"RPL39P14"
0,0,2,0,1,"PGAM1P6"
0,0,0,0,0,"SOCS2P2"
0,0,0,0,0,"CDCA4P2"
0,0,0,0,0,"AC009313.1"
0,0,0,0,0,"LAMC1-AS1"
0,0,0,0,1,"AC009517.1"
2747,1759,2437,3159,2725,"ATXN1L"
0,0,0,0,0,"MTCO3P19"
0,0,1,0,4,"CCND3P1"
0,0,0,0,0,"AC073900.1"
0,0,0,0,0,"RPL36P16"
0,0,0,0,0,"AL109933.1"
4,1,1,0,1,"AL356417.1"
4,2,1,4,2,"AC104162.1"
0,1,0,3,1,"AC245100.1"
0,0,0,0,0,"HSFY4P"
0,0,2,0,0,"AC023141.2"
0,0,0,0,0,"USP9YP7"
0,0,0,0,0,"AL662795.1"
0,0,0,0,0,"SAMM50P1"
0,0,0,0,0,"TTC21B-AS1"
0,0,0,0,0,"AC093156.1"
0,0,1,2,1,"HNRNPA3P14"
0,0,2,0,0,"RPL36P4"
0,0,0,0,0,"MAPKAPK5P1"
0,0,0,0,0,"AL731575.1"
0,0,0,0,0,"AC025428.1"
29,27,19,46,18,"AC138150.1"
7,3,0,1,0,"LINC02523"
3,0,1,3,2,"MRPS9-AS2"
0,0,0,0,0,"POLR2KP2"
3,1,0,5,3,"LINC00365"
0,0,1,0,0,"AC109309.1"
0,0,0,0,1,"LINC00620"
0,0,0,0,0,"AL590385.1"
1,0,2,0,0,"AC068134.1"
0,0,0,0,0,"HTR2A-AS1"
0,0,0,0,0,"AC006989.1"
0,0,0,0,0,"HMGN1P19"
3,2,3,4,2,"KRT8P45"
1,1,0,0,0,"AC098483.2"
1,0,0,0,0,"AL445213.1"
0,0,0,0,0,"CYCSP42"
0,0,0,0,0,"AL591686.1"
0,0,0,0,0,"AC093698.1"
0,0,0,0,0,"PPIAP10"
388,322,399,461,412,"SMIM13"
0,0,0,0,0,"AL136361.1"
11,8,15,17,4,"TMLHE-AS1"
9,8,5,6,4,"LINC02771"
91,77,103,112,77,"AC096677.1"
0,0,1,0,0,"MEP1AP4"
0,0,0,0,0,"SAGE4P"
0,0,0,0,0,"AC092810.1"
0,1,0,3,2,"AP001439.1"
10,6,5,17,15,"SNRPGP15"
1,0,0,0,0,"AC008264.1"
45,39,41,45,42,"EIF4BP3"
0,0,0,0,0,"ZNF619P1"
0,0,0,0,0,"Z75741.1"
1,2,0,0,0,"AC017067.1"
1,0,1,0,2,"AC114491.1"
0,0,0,0,0,"HMGB3P21"
0,0,0,1,0,"RPS26P20"
0,0,0,0,0,"AC087441.2"
0,0,0,0,0,"BX510359.1"
0,0,0,0,0,"HLA-DPB2"
8,13,10,7,8,"LINC01087"
0,0,0,0,0,"AC108043.1"
0,0,0,0,0,"LPP-AS1"
0,0,0,0,0,"LINC01754"
3,4,3,6,1,"FAM96AP2"
0,0,0,0,0,"AC134879.1"
0,0,0,0,0,"LINC01886"
0,0,0,0,0,"AC095052.1"
0,0,0,0,0,"AC097063.1"
0,0,0,0,0,"USP9YP13"
0,0,0,1,0,"AC083863.1"
0,0,0,0,0,"COL18A1-AS2"
0,1,0,0,0,"LINC01117"
135,208,150,180,190,"HNRNPA1P48"
0,0,0,0,0,"AC245052.2"
0,0,0,0,0,"LINC01015"
0,0,0,0,0,"AL356277.2"
0,0,0,0,0,"UBE2V1P13"
0,0,0,0,0,"AC103563.1"
0,0,0,0,0,"GPX5"
0,0,0,0,0,"AC112492.1"
0,0,0,0,0,"MTND3P16"
0,1,2,0,0,"MIR3659HG"
0,0,0,0,0,"AC092427.1"
0,0,0,2,4,"RPL29P19"
0,0,0,0,0,"AC073626.1"
52,35,63,49,24,"ZMIZ1-AS1"
774,558,700,974,805,"SVIL-AS1"
0,0,0,0,0,"RPS5P2"
0,0,0,0,0,"BMS1P12"
2,0,0,0,0,"AL031864.2"
0,0,0,0,0,"RPS26P5"
0,0,0,0,0,"BX664725.1"
0,0,0,0,0,"AC008069.1"
0,0,0,0,0,"AL080284.1"
0,0,0,0,0,"TGFA-IT1"
0,0,0,0,0,"IGKV1D-27"
21,25,21,23,27,"AC093425.1"
0,0,0,0,0,"AC108879.1"
0,0,0,0,0,"AC007919.1"
0,0,0,0,0,"AC011901.1"
2,0,3,2,0,"AC095032.1"
12,8,25,17,11,"TNK2-AS1"
78,66,112,106,54,"RTCA-AS1"
0,0,0,0,0,"BX276092.1"
0,0,0,0,0,"AC096921.1"
0,0,0,0,0,"MEF2AP1"
9,12,10,9,6,"AL451042.1"
0,0,0,0,0,"OR9R1P"
0,1,0,1,0,"TUBB8P6"
1,3,1,0,0,"AC106053.1"
0,0,0,0,0,"RPL37P10"
0,2,2,0,0,"AL121723.1"
0,0,0,0,0,"AC004975.1"
0,0,0,0,0,"AC234064.1"
136,156,230,208,168,"RPS27AP16"
0,0,0,0,0,"Z73361.1"
0,0,0,0,0,"ZNF736P6Y"
17,10,15,30,18,"AL391095.2"
0,0,0,0,0,"PDSS1P2"
0,0,0,0,0,"SRSF1P1"
0,0,0,0,0,"AC064871.3"
0,0,0,0,0,"AL135787.1"
0,0,0,0,0,"AL391069.1"
0,0,0,0,0,"RPS28P5"
0,0,0,0,0,"AC026954.1"
0,0,0,0,0,"LINC01627"
0,0,0,0,0,"AF124730.2"
0,0,0,0,0,"IGHV3-74"
170,164,200,256,134,"LINC00885"
0,0,0,0,0,"AC023141.3"
0,0,1,1,1,"LINC01823"
0,0,0,0,0,"AL009172.1"
0,0,0,0,0,"RBMY2BP"
0,0,0,0,1,"AL513164.1"
0,0,0,0,0,"GAGE12J"
160,113,161,246,187,"SH3BP5-AS1"
0,0,0,0,0,"AC010907.1"
0,0,0,0,0,"ATP6V1G1P3"
0,0,0,0,0,"RPL36AP53"
11,8,8,11,12,"ETV7-AS1"
0,0,0,0,0,"AC013470.1"
0,0,0,0,0,"IPO8P1"
2,0,1,1,0,"AC016769.2"
0,0,0,0,0,"AC068135.1"
0,0,0,0,0,"AC105940.1"
0,0,0,2,0,"RPL17P10"
0,0,0,0,0,"EIF3EP2"
0,0,0,0,0,"AC009227.1"
0,0,0,0,1,"PDIA3P2"
0,0,0,0,0,"GAPDHP46"
9,2,3,6,3,"MED15P4"
6,7,3,8,8,"PLA2G12AP1"
0,0,0,0,0,"BX664727.1"
0,0,0,0,0,"SOCS5P2"
0,0,0,0,0,"RPL36AP29"
0,0,0,0,0,"AC099670.2"
0,0,0,0,0,"ELOCP23"
66,63,58,90,54,"RASAL2-AS1"
0,0,0,0,0,"E2F6P2"
19,29,40,47,42,"ZNF812P"
0,0,0,0,0,"UBE2D3P3"
0,0,0,0,0,"AL133553.1"
0,0,0,0,0,"Z68694.1"
0,0,0,0,0,"MTND6P7"
0,0,0,0,0,"NEFMP1"
0,0,1,1,0,"AL390038.1"
54,37,74,62,50,"LAMTOR5-AS1"
0,0,0,0,0,"AP000844.1"
0,0,0,0,0,"MED28P4"
0,0,0,0,0,"LMX1A-AS2"
1,2,1,4,1,"RPS17P13"
0,0,0,0,0,"E2F3-IT1"
0,0,0,0,0,"OR11M1P"
0,0,0,0,0,"LINC01706"
0,0,0,0,0,"NPIPA3"
3,1,5,5,1,"AC025165.1"
0,0,0,0,0,"LINC02671"
1,0,1,0,0,"Z82186.1"
94,94,96,160,92,"LEMD1-DT"
0,0,0,0,0,"LINC01657"
0,0,0,0,0,"AC009237.2"
1,1,1,2,0,"AC007182.1"
0,1,1,1,1,"AC020688.1"
0,0,0,0,0,"GUSBP10"
0,0,0,0,0,"CEP57L1P1"
0,0,0,0,0,"FCF1P7"
57,44,52,73,49,"IMPDH1P8"
14,8,8,17,2,"PCOLCE-AS1"
0,0,0,0,0,"LILRB1-AS1"
0,0,0,0,0,"AC016716.1"
0,0,0,0,0,"MAGEA7P"
0,0,0,0,0,"AL034349.1"
0,0,0,0,0,"BX323845.1"
16,9,21,24,15,"AC099850.2"
4,1,1,1,4,"AC016735.1"
2,0,0,0,0,"TEX26-AS1"
0,0,0,0,0,"AC063965.2"
15,3,4,10,6,"AC015987.1"
0,0,0,0,0,"MTCYBP21"
0,0,0,0,0,"AL391704.1"
0,0,0,0,0,"SHMT1P1"
0,0,0,0,0,"VN1R21P"
0,0,0,0,0,"HMGN1P34"
0,0,0,0,0,"LINC01167"
0,0,0,0,0,"C1DP3"
0,0,1,0,0,"CCNYL4"
0,0,0,0,0,"CR769776.1"
5,2,5,7,3,"FDPSP8"
0,0,0,0,0,"AL353768.1"
0,0,0,0,0,"AL035443.1"
208,192,175,266,167,"MUC20P1"
1,0,0,0,0,"ATP2B2-IT2"
4,3,2,1,6,"HSPA8P7"
3,2,7,2,0,"BRAFP1"
0,0,1,0,0,"RPSAP50"
0,0,0,0,0,"OR4F2P"
0,0,0,0,0,"CENPIP1"
7,30,10,10,8,"EIF4A2P4"
0,0,0,0,0,"MIPEPP2"
0,0,0,0,0,"S100A15A"
2,1,7,4,2,"AC006026.1"
9,15,10,6,4,"CETN4P"
0,0,0,0,0,"LINC02670"
10,2,7,19,13,"AC012363.2"
61,69,67,87,87,"AP000704.2"
0,0,0,0,0,"KRT18P39"
0,0,0,0,0,"IQCF4P"
1,1,1,2,5,"AL022326.1"
1,0,0,1,1,"NTM-AS1"
0,0,0,0,0,"RPL32P1"
0,0,0,0,0,"AL359092.1"
0,0,0,0,0,"AL139397.1"
0,0,0,0,1,"RPS27AP6"
0,0,0,0,0,"TUBB4BP2"
4,9,7,6,7,"LINC00853"
0,0,0,0,0,"ARL5AP4"
0,0,0,0,0,"DUX4L9"
0,0,0,0,0,"SRGAP3-AS1"
0,0,0,0,0,"BEND3P2"
2,2,5,2,2,"AL355482.1"
193,319,378,238,164,"TMEM72-AS1"
0,0,0,0,0,"AC114812.2"
0,0,0,0,0,"AL691447.1"
0,0,0,0,0,"NAP1L4P2"
1,0,0,0,0,"AC010789.1"
0,0,0,0,0,"AC096677.2"
0,0,0,0,0,"AC093843.1"
24,42,36,30,27,"BTF3P4"
1,0,2,0,0,"COL4A2-AS2"
0,0,0,0,0,"THRB-IT1"
0,0,0,0,0,"RORB-AS1"
1,0,0,0,0,"USP21P1"
0,0,0,0,0,"LINC00265-2P"
0,0,0,0,0,"TOMM20P1"
0,0,0,0,0,"OR2X1P"
13,10,7,12,14,"TMEM183B"
0,0,0,0,0,"LINC01689"
34,55,34,26,47,"BTF3P9"
0,0,0,0,0,"AL356498.1"
4,9,4,8,10,"GCSHP5"
3,1,6,0,1,"RPL12P17"
46,24,47,61,44,"AL161908.1"
42,41,48,58,41,"LINC00240"
0,0,0,0,0,"AC107079.1"
3,0,2,2,2,"NQO2-AS1"
0,1,0,0,0,"AL589843.1"
0,0,0,0,0,"LINC00502"
0,0,0,0,0,"MTND5P24"
0,1,0,0,0,"LINC00393"
0,0,0,1,0,"CDKN2A-DT"
0,0,0,0,0,"OPA1-AS1"
2,1,3,0,4,"AL035398.1"
0,0,0,0,0,"LINC01691"
0,1,0,2,2,"RPL29P11"
0,0,0,0,0,"GXYLT1P2"
119,129,107,113,155,"YBX1P1"
0,0,0,0,0,"LINC01398"
0,0,0,0,0,"AC011447.1"
0,0,0,0,0,"AC009518.1"
0,0,0,0,0,"USP9YP25"
0,0,0,0,0,"AC062016.1"
636,576,639,737,557,"MRPL20-AS1"
0,0,0,0,0,"CDY13P"
1,0,0,0,0,"EML4-AS1"
0,0,0,0,0,"AL121901.1"
360,492,365,479,374,"NDUFAF8"
0,0,0,0,0,"AC011754.1"
0,0,0,0,0,"MTCYBP29"
0,0,0,0,0,"AC068279.1"
0,0,1,2,0,"Z99716.1"
0,0,0,1,0,"AC034187.1"
23,12,26,22,19,"EIPR1-IT1"
10,17,14,12,13,"AL132656.1"
2,0,3,0,2,"AL513318.1"
5,8,11,3,4,"AC138028.2"
0,1,0,0,0,"ARL14EPP1"
20,14,13,23,31,"RPS4XP16"
0,0,0,0,1,"LINC02840"
1,0,0,0,1,"VPS26BP1"
0,0,0,0,0,"SIGLEC30P"
8,3,8,22,8,"POT1-AS1"
0,0,0,0,0,"LINC02830"
0,0,0,0,0,"AL365258.2"
0,0,0,0,0,"GAGE12H"
6,5,5,4,5,"AC005534.1"
0,0,0,0,0,"SBF1P2"
2,5,7,3,4,"AP001347.1"
0,0,0,0,2,"SRP14P1"
0,0,0,0,0,"RPL21P91"
0,0,0,0,0,"TIMM8BP2"
0,0,0,0,0,"LINC01766"
34,27,54,44,49,"LINC00863"
0,0,0,0,0,"APOC4-APOC2"
0,0,0,0,0,"AC016694.1"
0,0,0,0,0,"AC066595.1"
1,2,3,4,0,"AL591684.1"
0,0,0,0,0,"TACC1P1"
0,0,0,0,0,"AL050303.1"
0,0,0,0,0,"LINC00320"
5,0,0,0,1,"NDUFA5P10"
0,0,0,0,0,"KRT8P30"
0,0,0,0,0,"AC152010.1"
0,0,0,0,0,"LINC02262"
0,0,0,0,0,"LINC01034"
37,19,48,40,36,"AL391684.1"
0,0,0,0,0,"AL589678.1"
0,0,0,0,0,"SUCLA2P1"
2,0,3,2,2,"LINC00184"
6,11,14,8,5,"PRRT4"
0,0,0,0,0,"AL137014.1"
0,0,0,0,0,"LINC02819"
0,0,0,0,0,"CASC6"
13,11,9,3,12,"AL353150.1"
0,0,0,2,0,"AC007312.1"
0,0,0,0,0,"VN1R25P"
0,0,0,0,0,"ATP5MC1P8"
0,0,0,0,0,"AL589872.1"
69,47,55,100,77,"AL390066.2"
0,0,0,0,0,"SRIP3"
0,0,0,0,0,"KCTD10P1"
0,0,0,0,0,"LINC01266"
0,0,0,0,0,"PGM5-AS1"
0,0,0,0,0,"PPP4R3C"
9,7,11,14,12,"LINC01752"
0,0,0,1,0,"PSAT1P4"
0,0,0,0,0,"U82695.1"
0,0,0,0,0,"TRAPPC2P3"
8,8,10,10,5,"LINC02586"
0,0,2,0,0,"TBC1D3P6"
0,0,1,0,0,"AC009303.1"
0,0,0,0,0,"LINC01645"
1,3,4,2,1,"AL645608.1"
0,0,1,0,0,"AC245427.1"
2,3,3,4,4,"SUMO2P3"
0,0,0,0,0,"AL513412.1"
0,0,0,0,0,"LARGE-AS1"
37,22,35,44,28,"INE1"
0,0,0,1,0,"PARP4P2"
0,1,1,0,0,"LINC02776"
0,0,0,0,0,"BX682237.1"
0,0,0,0,0,"RPL23AP85"
0,0,0,0,0,"AC000367.1"
0,0,0,0,0,"TMEM233"
10,7,9,8,7,"AL512363.1"
5,4,3,6,3,"AL590714.1"
6,2,0,1,1,"PPP1R8P1"
0,0,0,0,0,"AL024507.1"
2,2,4,2,1,"AL158207.1"
0,0,0,0,0,"FAM41AY1"
7,7,11,13,6,"AL445645.1"
0,0,0,0,0,"RPL29P12"
0,0,0,0,0,"LINC01526"
0,0,0,0,0,"VTA1P1"
0,0,0,0,0,"AC010082.1"
0,0,0,0,0,"AL732323.1"
0,0,0,0,0,"OR51A5P"
0,0,0,0,0,"AC211485.1"
0,0,0,0,0,"AL929288.1"
1,2,1,5,2,"AC000067.1"
0,0,0,1,0,"AC234781.2"
0,0,0,0,0,"AL671862.1"
0,0,0,0,0,"AL121872.1"
0,1,0,0,0,"KCTD9P1"
0,0,0,0,0,"LINC00328-2P"
0,0,0,0,0,"AP004289.1"
0,0,0,0,0,"AC092647.1"
64,77,50,52,84,"UBE2D3P1"
0,0,0,1,0,"AC015977.1"
0,0,0,0,0,"KIF4CP"
0,0,0,0,0,"AC091492.1"
0,0,0,0,0,"IFNWP4"
0,0,0,0,0,"AC096541.1"
89,102,93,75,110,"EIF4BP7"
202,193,204,239,168,"AL162586.1"
0,0,0,0,0,"CDK4P1"
0,0,0,0,0,"EIF1AX-AS1"
1,0,3,1,1,"LINC01058"
0,0,0,0,0,"RPL18AP2"
0,0,0,0,0,"AC018814.1"
0,0,0,0,0,"MTND5P27"
0,0,0,0,0,"AL035423.1"
0,0,0,0,0,"AL355592.1"
8,11,13,13,10,"HMGB3P22"
0,4,0,1,1,"PRPF38AP1"
0,0,0,0,0,"AL606490.1"
0,0,0,0,0,"AL121894.1"
4,5,5,13,8,"AC012485.1"
0,0,0,0,0,"AC092941.1"
17,13,12,9,3,"CATIP-AS1"
0,0,0,0,0,"AC093422.2"
