"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
0,0,0,"AC007161.1"
4,1,2,"NPIPB2"
0,0,0,"ATP5F1AP8"
0,0,0,"LINC02092"
0,0,0,"LINC01287"
0,0,0,"AC092421.1"
3,1,0,"HDAC1P1"
0,0,0,"AC245060.3"
0,0,0,"AP001117.1"
0,0,0,"MTND4LP16"
0,0,0,"RPEP5"
0,0,0,"AL022237.1"
0,0,0,"FAM170B-AS1"
2,1,2,"KRT18P15"
3,2,4,"AL162386.2"
2608,2380,3218,"GAS5"
3,6,6,"AC144530.1"
10,7,20,"EIF5AP4"
0,0,0,"USP9YP26"
3861,3625,3401,"HLA-B"
0,0,0,"AL109913.1"
0,0,0,"FAM90A21P"
1,0,1,"AC012618.2"
0,0,0,"AP002381.1"
0,0,0,"LINC02676"
50,66,90,"FOXP4-AS1"
0,0,0,"LINC02817"
0,0,0,"LINC02621"
4,0,2,"AC034228.2"
0,0,0,"MGAT4FP"
0,0,1,"AL359378.1"
0,1,0,"E2F6P1"
0,0,0,"ELL2P3"
0,0,0,"LINC01496"
0,0,0,"LINC01052"
0,0,1,"AL611929.1"
26,34,50,"WASH4P"
1,0,2,"GULOP"
575,709,860,"SLC25A25-AS1"
2,2,3,"LINC00412"
46,48,66,"AC012618.3"
1,0,0,"AC105940.2"
20,18,25,"C11orf94"
0,0,0,"LINC02529"
0,0,0,"BNC2-AS1"
0,0,0,"AC245047.5"
0,0,0,"LINC01103"
3,2,1,"TPT1P9"
0,0,0,"AL606517.2"
0,1,1,"EEF1GP5"
0,0,0,"LINC00458"
6,3,4,"HSPA8P3"
7,8,6,"AL590369.1"
0,0,0,"NUTF2P4"
0,0,0,"AC108448.1"
0,0,0,"AL450023.2"
1,4,3,"AC114730.2"
0,0,0,"RFTN1P1"
0,0,0,"AC113607.1"
36,35,38,"RPS3AP6"
0,0,1,"PCMTD1P3"
15,22,22,"MORF4"
0,0,0,"FAM197Y2"
45,26,62,"AC090505.1"
0,0,1,"RPL26P29"
243,196,274,"LINC01135"
10,6,7,"AL603840.1"
0,0,1,"AL161932.2"
0,0,0,"BX664727.2"
0,0,0,"AL357520.1"
66,75,60,"SVIL2P"
0,0,1,"H2AC5P"
3,2,3,"ECI2-DT"
14,13,25,"AC007314.1"
0,0,3,"AL353705.4"
0,0,0,"MRPS33P4"
5,2,7,"XRCC6P2"
0,0,0,"AC003084.1"
0,0,0,"IQCM"
0,0,0,"IFNA17"
0,0,0,"FAM197Y9"
3,2,5,"NXT1-AS1"
0,0,2,"PHBP13"
0,0,0,"AC073464.2"
5,7,13,"PPIAP78"
0,0,0,"RPS26P30"
20,15,14,"LINC01239"
0,0,2,"AC017007.3"
0,0,0,"MTCO2P16"
0,0,0,"CDC42P2"
1,0,1,"AC008758.2"
0,0,0,"MTND2P3"
58,47,68,"RPL23AP42"
0,0,0,"NDUFA5P3"
0,0,0,"LINC00676"
0,0,0,"SLIT1-AS1"
0,0,0,"HNRNPUL2-BSCL2"
0,0,0,"AC003958.2"
0,0,0,"AL162394.1"
0,0,0,"ATP5F1AP1"
0,0,0,"AL035258.1"
0,0,0,"AC096644.1"
0,0,0,"LINC02632"
0,0,0,"ADH5P5"
82,76,76,"AL021392.1"
0,0,0,"AL358176.5"
0,0,0,"AC092660.1"
0,0,0,"HSPE1P1"
4,8,5,"LINC00163"
0,0,0,"PIGFP2"
0,0,0,"EIF3EP1"
314,413,449,"MIR155HG"
0,0,0,"AL022329.1"
0,0,1,"MTND5P26"
0,0,0,"OFD1P15Y"
0,0,0,"AL391666.1"
0,0,0,"HNRNPDLP2"
0,0,0,"Z82196.1"
0,0,0,"Z82214.1"
0,0,0,"AL139327.2"
0,0,0,"OR52X1P"
7,9,17,"OR7E62P"
0,0,0,"CHEK2P3"
1818,1827,1706,"SOX9-AS1"
0,0,0,"AL135937.1"
0,0,0,"MTND6P13"
15,12,10,"AC007879.3"
0,0,0,"AC133104.1"
0,0,0,"APOC2"
0,0,0,"AL593851.1"
0,0,0,"IL6RP1"
44,29,35,"TEX21P"
242,235,320,"SNHG20"
16,2,1,"AC016027.2"
0,0,0,"AL360091.3"
17,12,16,"AC098484.2"
0,0,0,"AL157387.1"
0,0,0,"LINC01827"
5,0,1,"AC006450.2"
0,0,0,"TSEN15P3"
0,0,1,"ATP5PDP4"
0,0,0,"HMGN1P18"
1,2,0,"LINC01659"
7,10,10,"AC018685.2"
0,0,0,"MARK2P15"
0,0,0,"AC009969.1"
0,0,1,"CDC42P1"
0,0,0,"MTND5P29"
34,26,27,"AC010883.1"
0,0,0,"AL139128.1"
0,0,0,"AC012668.2"
0,0,0,"MTND2P18"
0,0,0,"AC023128.1"
0,0,0,"AL117339.2"
0,0,0,"GRID1-AS1"
6,2,4,"AC092839.2"
0,0,0,"LINC02623"
10,8,14,"GTF3C2-AS1"
0,1,1,"SDHCP3"
0,0,0,"LINC01524"
46,27,50,"AC104667.2"
0,0,0,"RBMY2OP"
0,0,0,"LINC02674"
1,0,0,"AL138799.3"
0,0,0,"LINC02539"
0,0,0,"FABP5P13"
295,213,219,"AL133415.1"
0,0,0,"LINC00700"
7,8,14,"FABP5P7"
4,7,7,"SHISA8"
0,0,0,"AL357558.2"
0,1,1,"AL627389.1"
0,0,0,"LINC02658"
39,48,51,"FTH1P2"
0,0,0,"AC074389.3"
0,0,0,"Z82185.1"
2,0,2,"AC244034.1"
1,0,0,"AL441963.1"
0,0,4,"AC010132.2"
0,0,0,"FMO10P"
0,0,0,"AC074085.2"
0,0,0,"AL731661.1"
0,0,0,"LINC01849"
0,0,0,"CUBNP2"
0,0,0,"RPS3AP28"
71,52,55,"AC098934.2"
12,14,14,"AC016745.1"
0,0,0,"AC244453.3"
0,1,2,"SNRPCP19"
6,5,5,"EIF4A1P2"
0,0,0,"AL513331.1"
0,0,0,"USP9YP30"
2,1,2,"AL450468.1"
2,2,3,"AL161785.2"
0,1,0,"AL023775.1"
1,0,0,"LINC01883"
0,2,5,"AL512622.1"
0,0,0,"AL353651.1"
1,1,0,"JCADP1"
0,1,0,"COX20P2"
0,0,0,"REREP2Y"
0,0,0,"GEMIN2P1"
14,16,8,"SEMA3F-AS1"
2,1,2,"AL137077.1"
0,0,0,"AL390783.1"
2,3,8,"AL591848.2"
23,15,9,"AP001626.1"
0,0,0,"AC097468.2"
2,4,2,"DPP10-AS1"
4,3,5,"AC068580.3"
0,1,1,"HMGN1P30"
20,11,20,"MNX1-AS2"
0,0,0,"BMP7-AS1"
2,3,5,"DAAM2-AS1"
0,0,0,"C19orf81"
0,0,0,"AC005234.1"
7,3,7,"AL035456.1"
0,0,0,"AL445193.2"
0,0,0,"MTND6P12"
0,0,0,"MTCO3P1"
0,1,0,"AC098820.3"
62,50,60,"TECRP1"
0,5,2,"PPIAP3"
0,0,0,"RPL7P8"
0,0,0,"AC016751.2"
0,0,0,"LINC00940"
0,0,0,"MLIP-AS1"
1,2,4,"AL357497.1"
3,5,3,"AL021154.1"
0,0,0,"LINC01777"
5,1,2,"AL157407.1"
0,0,0,"AC010983.1"
1,10,8,"ZMYND10-AS1"
0,0,0,"AC008175.1"
0,0,0,"VDAC1P4"
0,0,0,"UBE2V1P7"
2,0,0,"BCRP5"
0,0,0,"SLC25A5P2"
9,1,6,"RPL24P2"
2,2,1,"AC009303.2"
0,0,0,"AL627082.1"
0,0,0,"AC062015.1"
1,1,2,"AC073909.1"
171,152,159,"ARNILA"
2,3,4,"GAPDHP52"
1,2,1,"AC073842.1"
21,23,37,"AC231981.1"
5,6,5,"ZRANB2-AS1"
0,0,0,"MTND5P23"
0,0,0,"AC245052.3"
8,5,16,"SUMO1P3"
0,0,0,"AL929288.2"
10,9,5,"CHCHD2P6"
0,0,0,"AC091153.2"
0,0,1,"FNDC1-IT1"
1,0,2,"AL031667.2"
0,0,0,"AL357632.1"
1,0,4,"RPL7L1P3"
0,0,0,"BX324167.1"
530,496,548,"ID2-AS1"
0,0,0,"AC006335.1"
0,0,1,"AC099654.2"
0,0,1,"AC118555.1"
0,0,0,"LINC00330"
121,109,76,"ANKRD65"
0,0,0,"AL138731.1"
4,0,0,"AL157400.3"
0,0,0,"SETP9"
0,0,0,"ADI1P1"
0,0,0,"AL356968.2"
964,1028,1418,"BRD3OS"
0,0,0,"IFNA12P"
499,702,1054,"ZSCAN31"
0,0,0,"AC107421.1"
0,0,0,"Z97192.3"
0,0,0,"HSPE1P27"
0,0,0,"AL161932.3"
0,0,0,"CHCHD2P8"
0,0,0,"FAM237A"
7,3,2,"AL138895.1"
0,0,0,"BSN-AS1"
4,8,16,"AL645504.1"
0,0,0,"AL121974.1"
0,0,0,"DSCAM-AS1"
0,0,0,"KRT8P17"
0,0,0,"AC128709.2"
0,0,0,"AC068286.1"
0,0,2,"AC013474.1"
0,0,0,"FABP7P2"
0,0,0,"AL136528.2"
0,0,0,"RPL35AP22"
0,0,0,"AL627224.2"
0,1,0,"HSP90AB6P"
0,2,0,"AL445931.1"
0,0,0,"AC003984.1"
1,0,0,"AC026391.1"
0,0,0,"COX6CP17"
11,11,21,"LINC02532"
0,0,0,"AL445235.1"
1,0,2,"RPSAP16"
2,0,3,"AC114498.1"
0,0,0,"AC128677.1"
0,0,0,"HMGB3P23"
0,0,0,"AC096659.1"
0,0,0,"RCBTB2P1"
0,0,0,"AC131097.3"
0,0,0,"AL353052.1"
0,0,0,"FP325330.1"
0,0,1,"TMEM30CP"
0,0,0,"AC087430.1"
3,3,7,"AL121672.2"
0,0,0,"LINC02248"
151,243,277,"C12orf75"
0,0,0,"AC096644.2"
0,0,0,"CDK5P1"
0,0,0,"LINC01440"
0,0,0,"AL078581.3"
21,13,20,"SMIM1"
0,0,0,"MTND1P31"
1,3,0,"LINC01366"
813,881,1091,"HGH1"
20,22,29,"RPL39P3"
0,0,0,"RPL26P37"
1,0,1,"LINC00601"
0,0,0,"AC245036.2"
0,0,0,"AC104333.1"
0,0,0,"SRP14P3"
0,0,0,"AL031727.2"
0,0,0,"AC103563.8"
0,0,0,"AL034405.1"
0,0,0,"AL008629.1"
4,2,8,"NUCB1-AS1"
56,49,65,"AC009495.3"
453,399,411,"PPP1R3E"
0,0,0,"Z68868.1"
0,1,2,"ZNF33CP"
0,0,0,"AC005871.1"
0,0,0,"CYP2C58P"
0,0,0,"LINC01702"
0,0,0,"LINC02578"
0,0,0,"LINC01525"
0,0,0,"TBC1D3P3"
0,0,0,"AL162724.2"
0,0,1,"TATDN2P3"
0,0,0,"TUBBP6"
0,0,0,"AL135938.2"
0,0,0,"AL022318.1"
0,0,0,"TMSB10P2"
0,0,0,"OR6E1P"
0,0,6,"FAM83C-AS1"
0,0,0,"AL592431.1"
413,370,513,"TSPY26P"
0,0,0,"AC092638.2"
0,0,0,"AC236972.2"
0,0,0,"LINC00383"
0,0,0,"AL591212.2"
3,9,4,"RPL31P17"
0,0,0,"AL445528.1"
0,0,0,"VN1R38P"
0,0,0,"MRPS18BP2"
0,0,0,"IGKV1OR2-1"
4,6,6,"AC137630.2"
0,1,4,"Z82188.2"
0,0,0,"SUMO2P1"
0,0,0,"Z74696.1"
0,0,0,"AC026185.1"
0,0,0,"BX284668.4"
0,0,0,"AC010982.2"
0,0,0,"AC093716.1"
21,14,23,"DANT2"
57,45,51,"AL360181.2"
1,0,0,"AL020993.1"
0,0,0,"OR13C1P"
0,0,0,"AC093155.2"
4,3,3,"AC010240.3"
1,1,0,"TMEM185AP1"
0,0,0,"FKBP4P7"
101,104,138,"ITGA9-AS1"
0,0,0,"NDUFB4P6"
1,0,0,"KDM5C-IT1"
0,0,0,"AL928921.1"
0,0,0,"RPL5P28"
0,0,0,"RPL22P17"
10,2,3,"AC074117.2"
0,5,0,"KDM4E"
0,0,0,"LINC02331"
0,0,0,"Z97353.2"
10,6,10,"RAMACL"
1,0,0,"Z75741.2"
0,0,0,"KRT18P16"
0,0,0,"AF127577.3"
0,1,0,"ZNF652P1"
0,0,0,"AC069079.1"
288,280,412,"MCF2L-AS1"
0,0,0,"AL713851.1"
0,0,0,"DYNLL1P3"
4,5,3,"SNORD62A"
1,1,3,"SMIM2-IT1"
0,0,0,"AP000925.1"
0,0,0,"AC099329.1"
0,0,0,"BRD7P6"
0,0,0,"HLA-W"
0,0,0,"AL109838.1"
0,0,0,"AC114814.3"
0,1,0,"RPL7AP25"
1,3,0,"LINC01634"
1,2,3,"AC145207.1"
7,4,13,"FAUP1"
27,24,22,"AL354733.3"
0,0,0,"MRPL53P1"
0,0,0,"AC090627.1"
0,0,0,"HLA-Z"
0,0,0,"AL023495.1"
0,0,0,"LINC01281"
0,0,0,"GAPDHP34"
0,0,0,"AL445991.1"
0,0,0,"GXYLT1P6"
0,0,0,"KRTAP19-10P"
30,25,29,"HM13-IT1"
5,8,8,"LINC00957"
0,2,0,"RPL23AP69"
102,96,114,"DUSP8P5"
0,0,0,"MTND4LP13"
3,2,8,"AC012360.1"
0,0,0,"AC007556.1"
0,0,0,"COTL1P2"
0,0,0,"SRSF3P5"
0,0,0,"AC006946.1"
0,0,0,"AL031183.1"
3,4,10,"RPL12P25"
0,0,0,"RPSAP76"
0,0,0,"PVRIG2P"
0,0,0,"BTG3P1"
3,1,4,"B3GALT1-AS1"
0,0,0,"AC093083.1"
4,2,1,"DUSP5P2"
0,0,0,"GEMIN2P2"
0,0,0,"LINC01665"
0,0,0,"Z84478.1"
17,12,8,"AC016769.3"
1,0,0,"AL606490.8"
2,1,2,"AC114730.3"
0,0,0,"SGCEP1"
4,4,2,"RPS29P16"
0,0,0,"AL592466.1"
0,0,0,"LINC01621"
12,12,5,"AC093151.2"
0,0,0,"AC016292.1"
91,117,141,"SNRPGP10"
0,0,0,"LINC01055"
0,0,0,"SAPCD2P2"
0,0,0,"RPL36AP15"
78,92,32,"DNM1P51"
1,2,17,"AL122018.1"
142,107,118,"SSR4P1"
0,1,4,"RPEL1"
0,0,0,"AL158047.1"
0,0,0,"MRPS10P1"
0,0,0,"RPL7P31"
117,131,178,"AL596202.1"
0,0,0,"MTND4P31"
0,0,0,"LINC02154"
0,0,0,"AC113174.1"
48,62,50,"SPAAR"
0,0,0,"AL583805.2"
0,0,0,"AC051619.1"
0,0,0,"EPN2-AS1"
0,0,0,"AL135902.2"
1,0,0,"AC104837.1"
0,0,0,"AC114808.1"
0,0,0,"CYMP-AS1"
28,22,22,"SNORA71B"
0,1,0,"AL157896.1"
3,0,2,"DRG1P1"
0,0,0,"TTTY4B"
0,0,0,"KRT18P63"
0,0,0,"RPSAP24"
0,0,0,"AC005808.1"
0,0,1,"AC233728.2"
0,0,1,"AC010149.1"
0,0,0,"RPL29P30"
0,0,0,"AC114501.2"
0,0,0,"KATNBL1P3"
0,0,0,"SUMO2P10"
0,0,0,"RPS7P13"
0,0,0,"AL133481.1"
0,0,0,"AC006159.1"
0,0,0,"AC083875.1"
0,0,0,"ZSWIM5P1"
0,0,0,"AC010991.1"
0,0,0,"AL663074.2"
0,0,0,"MTATP6P17"
3,5,7,"AL391883.1"
0,0,0,"AC096666.1"
2,0,0,"DPY19L2P4"
2317,3024,4055,"LINC01278"
1,0,0,"ESRRAP2"
0,0,0,"RPS2P15"
0,0,0,"PSMB3P2"
2,0,1,"AC016027.3"
0,0,0,"LINC02791"
0,0,0,"TRAPPC13P1"
17,24,28,"LURAP1L-AS1"
2,2,0,"AC098934.3"
2,1,0,"AC079760.1"
0,0,0,"PNPLA4P1"
47,60,60,"SMIM27"
1,0,2,"HAUS6P3"
0,0,0,"IQCF5-AS1"
0,0,0,"RPS26P31"
0,1,1,"AC003001.1"
0,0,0,"TAB3P1"
0,0,0,"AC078974.1"
0,0,0,"AC007652.1"
0,0,0,"RPL10AP5"
0,0,0,"MRPL50P4"
0,0,0,"NEURL1-AS1"
4,5,8,"EIF4A1P7"
0,0,1,"LINC01664"
0,0,0,"RAB9AP4"
0,0,0,"AC013270.1"
1,10,9,"UBE2R2-AS1"
0,0,0,"RPL21P135"
2,3,3,"GYG2-AS1"
0,0,3,"AL021877.1"
0,0,0,"ANAPC1P6"
0,0,1,"JARID2-AS1"
10,10,7,"DBF4P1"
0,0,0,"LINC01889"
0,0,0,"LINC01221"
0,0,0,"LINC01967"
0,0,0,"AL590705.2"
0,0,0,"AC007422.1"
0,0,1,"AC012506.4"
30,39,38,"AC073046.1"
0,0,0,"SNX19P2"
264,254,313,"AC105942.1"
0,0,0,"AC079799.1"
10,9,7,"CASP17P"
16,11,17,"RPS2P7"
0,0,0,"BX842568.4"
0,0,0,"OFD1P18Y"
0,0,0,"TAB3-AS2"
10,9,10,"L3MBTL2-AS1"
0,0,0,"LLPHP2"
0,0,0,"AC011196.1"
22,7,13,"LINC01815"
0,0,0,"USP9YP27"
20,27,32,"AC010978.1"
0,0,0,"AL135924.2"
0,0,0,"MTCO1P23"
0,0,0,"FTLP1"
0,0,0,"AL355990.2"
22,16,19,"HIPK1-AS1"
7,5,7,"AGAP1-IT1"
27,27,25,"AC087294.1"
0,0,0,"MSC-AS1"
0,0,0,"LINC00402"
0,0,0,"AL360089.1"
0,0,0,"FECHP1"
1,0,0,"TRDN-AS1"
0,0,0,"AC009411.2"
1,0,0,"AL078602.1"
0,0,0,"MTND1P33"
0,0,0,"RPS11P1"
75,49,37,"AC103923.1"
0,0,0,"AC087499.4"
0,0,0,"NDUFB11P1"
2,0,1,"AC073551.1"
0,0,0,"EIF1P2"
0,0,0,"ANKRD26P2"
24,27,25,"RPL6P27"
2,6,3,"AC005822.1"
0,0,0,"SUMO1P4"
0,0,0,"AC146949.1"
0,0,0,"NOP56P1"
46,65,68,"AC002310.1"
0,0,0,"AL445183.2"
0,1,0,"AP000477.2"
219,200,139,"NFAM1"
0,0,0,"LINC00533"
0,0,0,"SNX18P14"
0,0,0,"AL353615.1"
0,0,0,"AC005005.2"
1,0,6,"AC073150.1"
0,0,0,"Z99758.1"
74,93,143,"LINC01871"
0,0,0,"AC007731.3"
0,0,0,"RPL38P5"
0,0,0,"AC005011.1"
2,0,0,"AL365258.3"
0,0,0,"AC007562.1"
0,0,0,"AC008268.1"
0,0,0,"AC011247.1"
52,65,80,"GAPDHP65"
2,0,2,"GNAS-AS1"
0,0,0,"AC004674.2"
0,0,0,"RBMS3-AS1"
0,0,0,"AL139824.2"
0,0,0,"GAPDHP23"
0,0,0,"LINC01102"
0,0,0,"RRM2P4"
5,7,3,"BARX1-DT"
0,0,0,"POU5F1P3"
0,0,0,"AL355472.1"
0,0,0,"AK4P6"
0,0,0,"NKX1-1"
31,31,33,"AF127577.4"
0,0,0,"AC013448.2"
0,0,0,"AL353681.1"
0,0,2,"NSRP1P1"
0,0,0,"AJ239322.1"
0,0,2,"ST13P2"
0,0,0,"AC016027.4"
52,35,26,"FAM21EP"
0,1,1,"RPL36AP33"
0,0,0,"AC020743.3"
0,0,1,"LINC00494"
4,4,0,"OR7E110P"
0,0,0,"AL138957.1"
0,0,0,"KRT18P66"
0,0,0,"SNRPFP4"
0,0,0,"TNR-IT1"
2,0,0,"AC090952.1"
0,0,0,"RNF148"
0,0,0,"AC016644.1"
13,15,24,"NUS1P1"
0,0,0,"AC069023.1"
0,0,0,"MTND6P14"
0,0,0,"AC002069.3"
0,0,0,"ELOAP1"
0,0,0,"LINC00484"
0,0,0,"PTP4A1P5"
0,1,0,"LINC01647"
0,0,0,"RPL10P5"
0,0,1,"LINC02651"
0,0,0,"MTND1P2"
0,0,0,"AL022319.1"
0,0,0,"MXRA5Y"
11,3,16,"G3BP1P1"
61,62,61,"AL356599.1"
0,0,0,"AC007253.1"
1491,1514,1915,"H3P6"
0,0,0,"RPL36P18"
0,0,0,"AL391987.4"
6,10,8,"LINC00345"
0,0,0,"MIR670HG"
2,1,1,"SAPCD1-AS1"
5,6,5,"LINC00298"
0,0,0,"CHN2-AS1"
0,0,0,"RPL21P40"
3,9,8,"AC090286.3"
0,0,0,"AL929472.4"
0,0,0,"LDHAP2"
0,0,1,"NPM1P26"
0,0,0,"OR5AN2P"
0,0,0,"AL161651.1"
0,0,0,"AC245884.3"
0,1,2,"AC018442.1"
2,0,0,"AC092473.1"
0,0,0,"PPIAP20"
0,0,0,"LINC00993"
0,0,0,"SNTG2-AS1"
0,0,0,"AC253536.4"
0,0,0,"CUBNP3"
0,0,0,"AC130472.1"
0,0,0,"PA2G4P2"
0,0,0,"CXorf51B"
1,2,10,"CYCSP52"
1,1,5,"PCBP2P1"
409,392,415,"LINC00894"
0,0,0,"AL133481.2"
332,230,314,"DICER1-AS1"
0,0,0,"AL158073.1"
0,0,0,"AL109810.2"
0,0,0,"ANKRD34C"
1,0,0,"AC004522.3"
0,0,0,"KRT18P46"
0,0,0,"DPP10-AS2"
0,0,0,"MFRP"
0,7,5,"GABPAP"
17,27,34,"AC013268.3"
5,1,3,"AC009299.2"
0,0,0,"AC007389.3"
0,0,0,"AC010148.1"
0,0,0,"AC007349.3"
0,0,0,"AL500522.2"
0,1,0,"OR2AF1P"
0,0,0,"LINC02250"
24,27,27,"HMGN1P36"
0,0,0,"RPL7AP72"
0,0,0,"AL031275.1"
0,0,0,"TRIM60P19"
0,0,0,"AC092647.4"
0,0,0,"PHACTR2-AS1"
0,0,0,"LINC02784"
1,0,0,"AC012308.1"
2,3,0,"AL139231.1"
0,0,0,"CTBP2P2"
3,6,6,"SEPTIN14P12"
0,0,0,"AL390860.1"
763,1003,890,"KIAA0040"
0,0,0,"AC098657.1"
0,0,0,"ARHGAP42P3"
1,1,3,"MSH2-OT1"
0,0,0,"MTCO3P46"
4,1,4,"SNRPGP5"
1,0,1,"BRD7P5"
77,42,57,"LINC00607"
3,2,0,"AP001625.2"
0,0,0,"AC023347.1"
0,0,0,"AC063976.4"
0,1,0,"AC000089.1"
0,0,0,"DPYD-AS2"
0,0,0,"AC130360.1"
3,6,13,"AC079779.3"
0,0,0,"USP17L27"
0,0,0,"LINC02569"
0,0,0,"AL031429.1"
0,0,0,"HNRNPA1P29"
0,0,0,"AL109767.1"
0,0,0,"ZNRF3-IT1"
0,0,0,"AC092047.1"
4,3,5,"PEF1-AS1"
0,0,0,"MTND3P21"
4,2,1,"AC093157.2"
0,0,0,"AL160275.3"
0,0,0,"HCFC1-AS1"
0,0,0,"MTCO2P23"
0,0,0,"AL357078.1"
0,2,1,"SOCS5P3"
0,0,0,"AF241728.1"
42,40,44,"MYL6P2"
0,0,0,"AL731534.1"
0,0,0,"AL691482.3"
1,2,0,"ADAM21P1"
0,0,0,"AL672032.1"
0,2,4,"AL136099.1"
1,0,0,"PRELID1P3"
2,0,3,"AL158214.1"
0,0,0,"VN1R17P"
29,44,57,"AL158828.1"
0,0,0,"AL109935.1"
0,0,0,"IFITM4P"
295,300,415,"OLMALINC"
0,0,0,"LINC00837"
0,0,0,"TUBB8P9"
0,0,0,"RPL36AP26"
0,0,0,"TBCAP2"
4,2,2,"SRGAP3-AS4"
32,21,37,"BHLHE40-AS1"
0,0,0,"CNN2P3"
1,0,0,"AC017099.1"
0,0,1,"Z93022.1"
0,0,0,"KIF3AP1"
2,0,2,"AC073333.1"
0,0,0,"HSP90AB7P"
1,1,0,"AC012363.3"
4,1,3,"AL390961.2"
0,0,0,"AC098649.1"
8,1,6,"LDHAP7"
5,1,5,"RMDN2-AS1"
0,0,0,"HS6ST2-AS1"
17,21,23,"AC005540.1"
1,0,0,"OR7E145P"
0,0,0,"CTBP2P1"
0,0,0,"AL359195.1"
244,179,250,"AC006978.1"
0,0,0,"AC005237.2"
0,0,0,"AL590648.2"
0,0,0,"B3GALT4"
0,0,0,"HSPA8P6"
1,1,4,"GSN-AS1"
0,0,0,"GAPDHP31"
0,0,0,"Z99127.2"
0,0,0,"AC062016.2"
1,0,0,"AC078777.1"
0,0,0,"ARHGEF7-AS2"
0,0,0,"FEM1AP4"
0,3,2,"FAR1P1"
0,0,0,"AL158832.1"
0,0,0,"AC114776.1"
0,0,0,"LINC00941"
0,1,2,"LINC01828"
0,0,0,"AC006055.1"
0,0,0,"LINC02799"
24,25,25,"AF064858.1"
0,1,0,"TSPEAR-AS1"
1,0,2,"PKMP2"
0,0,0,"BX284632.1"
0,0,0,"AC010154.1"
36,32,27,"TM4SF19-AS1"
0,0,0,"LINC01564"
0,0,0,"AL442644.1"
0,0,0,"AC108472.1"
4,1,5,"CPB2-AS1"
14,7,11,"RBMS3-AS3"
0,0,1,"AC115285.1"
5,3,8,"RHOA-IT1"
2,1,0,"APOA1-AS"
0,0,0,"AC019055.1"
3,5,10,"AL031729.1"
0,0,0,"MACROD2-AS1"
0,1,1,"AC233279.1"
0,1,0,"MTCO2P11"
160,136,186,"ASH1L-AS1"
0,0,0,"AC073109.1"
0,0,0,"AL354766.1"
0,0,0,"ZNRF2P3"
0,0,0,"RPS29P15"
0,0,2,"NEXN-AS1"
0,0,0,"TPT1P14"
0,0,0,"HSPE1P12"
0,0,0,"LINC01553"
0,0,0,"AL359955.2"
0,0,0,"LINC01779"
4,5,5,"AC007405.3"
0,0,0,"RPL21P30"
31,12,21,"AL138760.1"
0,0,0,"MTND1P21"
0,0,0,"LCE6A"
0,0,0,"TMEM212-IT1"
70,62,73,"ZNF815P"
0,0,0,"AC002543.1"
16,20,29,"H2BW3P"
59,58,42,"EGOT"
0,0,0,"AC009965.2"
476,475,626,"TTC28-AS1"
0,0,0,"CICP20"
0,1,4,"COX7CP1"
0,0,0,"UBOX5-AS1"
0,0,0,"AC009237.6"
255,281,311,"PNMA6A"
0,0,0,"RPL7AP53"
0,0,0,"MCCD1P1"
0,0,0,"FXYD6P2"
0,0,0,"AP000431.2"
0,0,0,"COX5BP3"
0,0,0,"AC079112.1"
0,0,0,"CHEK2P4"
0,0,0,"AL355497.2"
0,0,0,"VN2R19P"
0,0,0,"Z83313.1"
0,0,0,"H2BP8"
24,27,36,"AC018816.1"
0,0,0,"AC004448.2"
0,0,0,"AC023274.2"
0,0,0,"GPC5-AS1"
0,0,0,"AC245100.5"
10,9,9,"MORC2-AS1"
1,1,3,"RPL23AP20"
0,0,0,"BX293995.1"
0,0,0,"GRAMD4P2"
0,0,0,"AC007559.1"
17,9,4,"HGC6.3"
0,0,0,"UBE2V1P6"
0,0,0,"AL136090.1"
4,13,13,"LINC01936"
0,0,0,"TAAR7P"
0,0,0,"AC007731.4"
0,0,0,"AL139156.3"
0,0,0,"AL389915.1"
0,0,0,"MTCO1P46"
338,380,370,"LINC01814"
0,0,0,"AL592309.2"
2,0,0,"HIGD1AP12"
3,1,1,"AL357146.1"
0,1,0,"AC011290.2"
0,0,0,"ASMTL-AS1"
2,0,0,"AC004898.1"
10,15,9,"AL591043.2"
1,0,0,"AC106017.1"
1,1,0,"PRRX2-AS1"
0,0,0,"AL139135.1"
0,0,0,"AC009237.7"
0,0,0,"PATE3"
0,0,0,"AL354766.2"
0,1,1,"AL591721.1"
0,0,0,"OR5H14"
0,0,0,"NSA2P1"
0,0,0,"LINC00445"
30,56,47,"AC019117.2"
1,0,0,"CHIAP1"
0,0,0,"COX6CP18"
0,0,0,"Z74696.2"
1,2,3,"FABP5P2"
0,0,0,"AL031283.2"
0,0,0,"AC004920.1"
3,5,3,"RPL13AP12"
1,1,1,"AC013470.3"
0,0,0,"LINC01920"
3,12,16,"MYCBP2-AS1"
0,0,0,"LINC01643"
0,0,0,"LINC01067"
0,0,0,"Z82246.1"
2,0,0,"GAPDHP14"
1,0,3,"RPL17P36"
35,24,39,"HSPB1P1"
0,0,0,"GSTM5P1"
11,7,5,"AL109946.1"
0,0,0,"AL020995.1"
0,0,0,"AC091862.1"
8,4,3,"AL136987.1"
0,0,0,"AL592043.2"
0,0,0,"AL627311.1"
0,0,0,"AL359475.1"
0,0,0,"LINC01072"
0,0,0,"SLC6A14P1"
0,0,0,"LINC01447"
